sports,league,round,date,home team,away team,home team total goal,away team total goal,result,odds_1,odds_x,odds_2,match_id,home_xg,away_xg
football,Eredivisie 2024 2025,Round 20,27/01/,AZ Alkmaar,Sparta Rotterdam,1,2,2,1.58,4.1,6.4,g_1_YesrJ6nD,1.15,0.92
football,Eredivisie 2024 2025,Round 20,26/01/,Waalwijk,Willem II,2,0,0,2.43,3.58,2.95,g_1_GlGZmRom,0.49,0.39
football,Eredivisie 2024 2025,Round 20,26/01/,Sittard,Zwolle,1,4,2,2.24,3.65,3.22,g_1_Y9MGX516,1.55,2.02
football,Eredivisie 2024 2025,Round 20,26/01/,Groningen,Heerenveen,1,0,0,2.38,3.19,3.37,g_1_pplTtAvK,0.6,0.91
football,Eredivisie 2024 2025,Round 20,26/01/,PSV,NAC Breda,3,2,0,1.14,10.1,18.3,g_1_p6P3gmOP,2.14,0.97
football,Eredivisie 2024 2025,Round 20,25/01/,Heracles,Utrecht,1,1,1,4.48,3.89,1.82,g_1_6NKOVqWI,1.58,1.14
football,Eredivisie 2024 2025,Round 19,20/01/,Sparta Rotterdam,Waalwijk,1,1,1,1.5,4.6,6.92,g_1_pW8fSAPQ,1.59,2.93
football,Eredivisie 2024 2025,Round 19,20/01/,Nijmegen,Sittard,4,1,0,1.69,4.0,5.31,g_1_CbloQ2xq,1.14,0.21
football,Eredivisie 2024 2025,Round 19,19/01/,Almere City,Heracles,0,2,2,2.3,3.37,3.37,g_1_fNHK9sh2,1.01,0.65
football,Eredivisie 2024 2025,Round 19,19/01/,Heerenveen,Ajax,0,2,2,5.57,4.16,1.64,g_1_bFAnUWfE,0.51,1.75
football,Eredivisie 2024 2025,Round 19,19/01/,NAC Breda,Twente,2,1,0,5.1,3.73,1.77,g_1_8QsfOt7e,1.03,1.65
football,Eredivisie 2024 2025,Round 19,19/01/,G.A. Eagles,Groningen,2,1,0,1.55,4.61,5.93,g_1_GS2FVOEL,1.11,1.05
football,Eredivisie 2024 2025,Round 19,19/01/,Willem II,Feyenoord,1,1,1,7.86,4.9,1.43,g_1_4GkRMlml,0.43,0.88
football,Eredivisie 2024 2025,Round 19,19/01/,Utrecht,AZ Alkmaar,0,0,1,2.57,3.48,2.64,g_1_MT96Xpp9,0.77,0.74
football,Eredivisie 2024 2025,Round 19,19/01/,Zwolle,PSV,3,1,0,10.5,6.65,1.24,g_1_Gjo2MKy8,1.18,3.18
football,Eredivisie 2024 2025,Round 18,13/01/,NAC Breda,Heerenveen,2,4,2,2.25,3.48,3.36,g_1_MeWwWX84,1.2,1.18
football,Eredivisie 2024 2025,Round 18,12/01/,Feyenoord,Utrecht,1,2,2,1.4,5.64,7.18,g_1_2iaDFCON,1.95,0.83
football,Eredivisie 2024 2025,Round 18,12/01/,Groningen,Almere City,0,0,1,1.94,3.44,4.42,g_1_zu8dJfPb,1.15,0.2
football,Eredivisie 2024 2025,Round 18,12/01/,Twente,Willem II,6,2,0,1.32,5.38,11.4,g_1_txB4HYgB,3.22,0.89
football,Eredivisie 2024 2025,Round 18,12/01/,PSV,AZ Alkmaar,2,2,1,1.42,5.55,6.87,g_1_Y7TBB3Nk,2.17,1.39
football,Eredivisie 2024 2025,Round 18,12/01/,Zwolle,Nijmegen,0,1,2,3.12,3.42,2.39,g_1_S81vUBwH,0.42,0.91
